t_s,stroke_deg,pitch_deg,alpha_deg,speed_mps
0.00000,60.000,0.000,90.000,0.00000
0.00010,60.000,0.424,0.424,0.00068
0.00020,59.999,0.848,0.848,0.00136
0.00030,59.997,1.272,1.272,0.00205
0.00040,59.995,1.696,1.696,0.00273
0.00050,59.993,2.119,2.119,0.00341
0.00060,59.989,2.542,2.542,0.00409
0.00070,59.985,2.964,2.964,0.00477
0.00080,59.981,3.386,3.386,0.00546
0.00090,59.976,3.807,3.807,0.00614
0.00100,59.970,4.228,4.228,0.00682
0.00110,59.964,4.648,4.648,0.00750
0.00120,59.957,5.067,5.067,0.00818
0.00130,59.950,5.485,5.485,0.00887
0.00140,59.942,5.902,5.902,0.00955
0.00150,59.933,6.317,6.317,0.01023
0.00160,59.924,6.732,6.732,0.01091
0.00170,59.914,7.146,7.146,0.01159
0.00180,59.904,7.558,7.558,0.01227
0.00190,59.893,7.969,7.969,0.01295
0.00200,59.882,8.378,8.378,0.01363
0.00210,59.869,8.786,8.786,0.01431
0.00220,59.857,9.192,9.192,0.01500
0.00230,59.843,9.597,9.597,0.01568
0.00240,59.830,9.999,9.999,0.01636
0.00250,59.815,10.401,10.401,0.01704
0.00260,59.800,10.800,10.800,0.01772
0.00270,59.784,11.197,11.197,0.01840
0.00280,59.768,11.593,11.593,0.01908
0.00290,59.751,11.986,11.986,0.01975
0.00300,59.734,12.377,12.377,0.02043
0.00310,59.716,12.767,12.767,0.02111
0.00320,59.697,13.154,13.154,0.02179
0.00330,59.678,13.539,13.539,0.02247
0.00340,59.658,13.921,13.921,0.02315
0.00350,59.638,14.301,14.301,0.02383
0.00360,59.617,14.679,14.679,0.02450
0.00370,59.595,15.054,15.054,0.02518
0.00380,59.573,15.427,15.427,0.02586
0.00390,59.550,15.798,15.798,0.02654
0.00400,59.527,16.165,16.165,0.02721
0.00410,59.503,16.530,16.530,0.02789
0.00420,59.478,16.893,16.893,0.02857
0.00430,59.453,17.253,17.253,0.02924
0.00440,59.428,17.610,17.610,0.02992
0.00450,59.401,17.964,17.964,0.03059
0.00460,59.375,18.316,18.316,0.03127
0.00470,59.347,18.665,18.665,0.03194
0.00480,59.319,19.010,19.010,0.03262
0.00490,59.290,19.354,19.354,0.03329
0.00500,59.261,19.694,19.694,0.03397
0.00510,59.232,20.031,20.031,0.03464
0.00520,59.201,20.365,20.365,0.03531
0.00530,59.170,20.696,20.696,0.03599
0.00540,59.139,21.025,21.025,0.03666
0.00550,59.107,21.350,21.350,0.03733
0.00560,59.074,21.672,21.672,0.03800
0.00570,59.041,21.991,21.991,0.03867
0.00580,59.007,22.307,22.307,0.03935
0.00590,58.972,22.621,22.621,0.04002
0.00600,58.937,22.930,22.930,0.04069
0.00610,58.902,23.237,23.237,0.04136
0.00620,58.865,23.541,23.541,0.04203
0.00630,58.829,23.842,23.842,0.04269
0.00640,58.791,24.139,24.139,0.04336
0.00650,58.753,24.434,24.434,0.04403
0.00660,58.715,24.725,24.725,0.04470
0.00670,58.676,25.013,25.013,0.04537
0.00680,58.636,25.298,25.298,0.04603
0.00690,58.596,25.580,25.580,0.04670
0.00700,58.555,25.859,25.859,0.04737
0.00710,58.514,26.135,26.135,0.04803
0.00720,58.472,26.407,26.407,0.04870
0.00730,58.429,26.677,26.677,0.04936
0.00740,58.386,26.943,26.943,0.05002
0.00750,58.342,27.206,27.206,0.05069
0.00760,58.298,27.466,27.466,0.05135
0.00770,58.253,27.723,27.723,0.05201
0.00780,58.208,27.977,27.977,0.05268
0.00790,58.162,28.228,28.228,0.05334
0.00800,58.115,28.476,28.476,0.05400
0.00810,58.068,28.721,28.721,0.05466
0.00820,58.020,28.962,28.962,0.05532
0.00830,57.972,29.201,29.201,0.05598
0.00840,57.923,29.437,29.437,0.05664
0.00850,57.873,29.670,29.670,0.05730
0.00860,57.823,29.899,29.899,0.05795
0.00870,57.773,30.126,30.126,0.05861
0.00880,57.722,30.350,30.350,0.05927
0.00890,57.670,30.571,30.571,0.05992
0.00900,57.618,30.789,30.789,0.06058
0.00910,57.565,31.004,31.004,0.06123
