t_s,stroke_deg,Fz_addedmass_uN
0.05010,59.981,4.7605
0.05020,59.924,14.0569
0.05030,59.830,22.7481
0.05040,59.697,30.5313
0.05050,59.527,37.1993
0.05060,59.319,42.6496
0.05070,59.074,46.8766
0.05080,58.791,49.9520
0.05090,58.472,52.0004
0.05100,58.115,53.1743
0.05110,57.722,53.6340
0.05120,57.292,53.5326
0.05130,56.826,53.0065
0.05140,56.324,52.1717
0.05150,55.787,51.1224
0.05160,55.214,49.9325
0.05170,54.606,48.6584
0.05180,53.964,47.3415
0.05190,53.288,46.0114
0.05200,52.578,44.6883
0.05210,51.835,43.3855
0.05220,51.060,42.1111
0.05230,50.252,40.8692
0.05240,49.412,39.6612
0.05250,48.541,38.4869
0.05260,47.639,37.3447
0.05270,46.708,36.2320
0.05280,45.747,35.1462
0.05290,44.756,34.0841
0.05300,43.738,33.0427
0.05310,42.692,32.0190
0.05320,41.619,31.0101
0.05330,40.520,30.0133
0.05340,39.395,29.0262
0.05350,38.245,28.0466
0.05360,37.072,27.0724
0.05370,35.874,26.1019
0.05380,34.654,25.1335
0.05390,33.413,24.1659
0.05400,32.150,23.1979
0.05410,30.866,22.2285
0.05420,29.564,21.2570
0.05430,28.242,20.2826
0.05440,26.903,19.3047
0.05450,25.547,18.3231
0.05460,24.174,17.3373
0.05470,22.787,16.3473
0.05480,21.385,15.3527
0.05490,19.969,14.3537
0.05500,18.541,13.3502
0.05510,17.101,12.3423
0.05520,15.650,11.3302
0.05530,14.190,10.3141
0.05540,12.720,9.2943
0.05550,11.243,8.2709
0.05560,9.758,7.2443
0.05570,8.267,6.2149
0.05580,6.771,5.1830
0.05590,5.271,4.1489
0.05600,3.767,3.1132
0.05610,2.261,2.0762
0.05620,0.754,1.0383
0.05630,-0.754,-0.0000
0.05640,-2.261,-1.0383
0.05650,-3.767,-2.0763
0.05660,-5.271,-3.1134
0.05670,-6.771,-4.1492
0.05680,-8.267,-5.1834
0.05690,-9.758,-6.2154
0.05700,-11.243,-7.2451
0.05710,-12.720,-8.2719
0.05720,-14.190,-9.2957
0.05730,-15.650,-10.3159
0.05740,-17.101,-11.3325
0.05750,-18.541,-12.3451
0.05760,-19.969,-13.3536
0.05770,-21.385,-14.3578
0.05780,-22.787,-15.3577
0.05790,-24.174,-16.3532
0.05800,-25.547,-17.3444
0.05810,-26.903,-18.3315
0.05820,-28.242,-19.3147
0.05830,-29.564,-20.2943
0.05840,-30.866,-21.2708
0.05850,-32.150,-22.2448
0.05860,-33.413,-23.2170
0.05870,-34.654,-24.1883
0.05880,-35.874,-25.1597
0.05890,-37.072,-26.1326
0.05900,-38.245,-27.1084
0.05910,-39.395,-28.0887
0.05920,-40.520,-29.0755
