t_ms,trans_uN,rot_uN,added_uN,total_uN
0.0000,0.0194,-9.5050,4.7605,-4.7252
0.1000,0.1533,-18.6668,14.0569,-4.4567
0.2000,0.5060,-27.1697,22.7481,-3.9156
0.3000,1.1639,-34.7491,30.5313,-3.0540
0.4000,2.1903,-41.2085,37.1993,-1.8189
0.5000,3.6243,-46.4274,42.6496,-0.1536
0.6000,5.4820,-50.3613,46.8766,1.9973
0.7000,7.7616,-53.0338,49.9520,4.6799
0.8000,10.4476,-54.5245,52.0004,7.9235
0.9000,13.5163,-54.9535,53.1743,11.7371
1.0000,16.9399,-54.4666,53.6340,16.1073
1.1000,20.6899,-53.2209,53.5326,21.0016
1.2000,24.7392,-51.3737,53.0065,26.3720
1.3000,29.0627,-49.0735,52.1717,32.1609
1.4000,33.6385,-46.4548,51.1224,38.3061
1.5000,38.4470,-43.6344,49.9325,44.7451
1.6000,43.4710,-40.7107,48.6584,51.4187
1.7000,48.6949,-37.7635,47.3415,58.2729
1.8000,54.1045,-34.8554,46.0114,65.2604
1.9000,59.6862,-32.0340,44.6883,72.3405
2.0000,65.4269,-29.3335,43.3855,79.4789
2.1000,71.3135,-26.7771,42.1111,86.6476
2.2000,77.3330,-24.3791,40.8692,93.8231
2.3000,83.4719,-22.1467,39.6612,100.9865
2.4000,89.7166,-20.0816,38.4869,108.1219
2.5000,96.0528,-18.1814,37.3447,115.2161
2.6000,102.4663,-16.4406,36.2320,122.2577
2.7000,108.9421,-14.8519,35.1462,129.2364
2.8000,115.4651,-13.4064,34.0841,136.1428
2.9000,122.0200,-12.0946,33.0427,142.9681
3.0000,128.5910,-10.9066,32.0190,149.7033
3.1000,135.1623,-9.8327,31.0101,156.3397
3.2000,141.7181,-8.8631,30.0133,162.8683
3.3000,148.2423,-7.9886,29.0262,169.2799
3.4000,154.7189,-7.2005,28.0466,175.5650
3.5000,161.1319,-6.4906,27.0724,181.7137
3.6000,167.4655,-5.8512,26.1019,187.7162
3.7000,173.7040,-5.2754,25.1335,193.5621
3.8000,179.8317,-4.7567,24.1659,199.2409
3.9000,185.8335,-4.2892,23.1979,204.7422
4.0000,191.6943,-3.8676,22.2285,210.0552
4.1000,197.3995,-3.4871,21.2570,215.1694
4.2000,202.9347,-3.1433,20.2826,220.0740
4.3000,208.2861,-2.8322,19.3047,224.7586
4.4000,213.4402,-2.5504,18.3231,229.2129
4.5000,218.3841,-2.2945,17.3373,233.4269
4.6000,223.1053,-2.0617,16.3473,237.3908
4.7000,227.5919,-1.8495,15.3527,241.0952
4.8000,231.8327,-1.6554,14.3537,244.5310
4.9000,235.8170,-1.4774,13.3502,247.6898
5.0000,239.5347,-1.3136,12.3423,250.5634
5.1000,242.9765,-1.1622,11.3302,253.1445
5.2000,246.1336,-1.0218,10.3141,255.4260
