t_ms,pitch_deg,roll_deg,height_mm
0.0000,2.0000,-2.0012,49.9999
0.1000,1.9997,-2.0012,49.9997
0.2000,1.9992,-2.0012,49.9994
0.3000,1.9986,-2.0012,49.9990
0.4000,1.9982,-2.0012,49.9985
0.5000,1.9982,-2.0012,49.9979
0.6000,1.9992,-2.0012,49.9972
0.7000,2.0014,-2.0012,49.9965
0.8000,2.0056,-2.0012,49.9957
0.9000,2.0120,-2.0012,49.9948
1.0000,2.0214,-2.0012,49.9939
1.1000,2.0342,-2.0012,49.9930
1.2000,2.0508,-2.0012,49.9921
1.3000,2.0718,-2.0013,49.9911
1.4000,2.0976,-2.0013,49.9902
1.5000,2.1284,-2.0013,49.9892
1.6000,2.1645,-2.0013,49.9883
1.7000,2.2063,-2.0013,49.9874
1.8000,2.2537,-2.0014,49.9866
1.9000,2.3068,-2.0014,49.9858
2.0000,2.3656,-2.0014,49.9851
2.1000,2.4298,-2.0015,49.9844
2.2000,2.4993,-2.0015,49.9839
2.3000,2.5737,-2.0015,49.9834
2.4000,2.6525,-2.0016,49.9830
2.5000,2.7352,-2.0016,49.9827
2.6000,2.8212,-2.0016,49.9825
2.7000,2.9096,-2.0017,49.9824
2.8000,2.9999,-2.0017,49.9825
2.9000,3.0912,-2.0018,49.9826
3.0000,3.1826,-2.0018,49.9828
3.1000,3.2734,-2.0019,49.9832
3.2000,3.3627,-2.0019,49.9837
3.3000,3.4498,-2.0020,49.9842
3.4000,3.5338,-2.0020,49.9849
3.5000,3.6141,-2.0021,49.9857
3.6000,3.6902,-2.0021,49.9865
3.7000,3.7614,-2.0022,49.9875
3.8000,3.8274,-2.0022,49.9885
3.9000,3.8880,-2.0023,49.9895
4.0000,3.9428,-2.0024,49.9906
4.1000,3.9918,-2.0024,49.9918
4.2000,4.0350,-2.0025,49.9930
4.3000,4.0725,-2.0026,49.9942
4.4000,4.1045,-2.0027,49.9955
4.5000,4.1312,-2.0028,49.9967
4.6000,4.1531,-2.0029,49.9980
4.7000,4.1703,-2.0030,49.9992
4.8000,4.1834,-2.0031,50.0004
4.9000,4.1929,-2.0032,50.0015
5.0000,4.1990,-2.0033,50.0027
5.1000,4.2023,-2.0035,50.0037
5.2000,4.2032,-2.0036,50.0047
5.3000,4.2021,-2.0037,50.0057
5.4000,4.1993,-2.0039,50.0065
5.5000,4.1951,-2.0040,50.0073
5.6000,4.1900,-2.0042,50.0080
5.7000,4.1842,-2.0043,50.0086
5.8000,4.1779,-2.0045,50.0092
5.9000,4.1716,-2.0047,50.0096
6.0000,4.1653,-2.0048,50.0099
6.1000,4.1593,-2.0050,50.0101
6.2000,4.1535,-2.0052,50.0103
6.3000,4.1481,-2.0054,50.0103
6.4000,4.1429,-2.0056,50.0102
6.5000,4.1379,-2.0058,50.0100
6.6000,4.1329,-2.0060,50.0097
6.7000,4.1276,-2.0062,50.0094
6.8000,4.1216,-2.0064,50.0089
6.9000,4.1145,-2.0066,50.0084
7.0000,4.1058,-2.0067,50.0078
7.1000,4.0951,-2.0069,50.0071
7.2000,4.0817,-2.0071,50.0063
7.3000,4.0652,-2.0072,50.0056
7.4000,4.0451,-2.0073,50.0048
7.5000,4.0210,-2.0074,50.0039
7.6000,3.9923,-2.0075,50.0031
7.7000,3.9587,-2.0076,50.0022
7.8000,3.9200,-2.0076,50.0014
7.9000,3.8759,-2.0076,50.0005
8.0000,3.8262,-2.0076,49.9997
8.1000,3.7708,-2.0076,49.9990
8.2000,3.7098,-2.0075,49.9982
8.3000,3.6433,-2.0074,49.9975
8.4000,3.5715,-2.0073,49.9969
8.5000,3.4947,-2.0072,49.9964
8.6000,3.4134,-2.0070,49.9959
8.7000,3.3280,-2.0069,49.9955
8.8000,3.2392,-2.0067,49.9952
8.9000,3.1476,-2.0065,49.9949
9.0000,3.0539,-2.0063,49.9948
9.1000,2.9590,-2.0061,49.9948
9.2000,2.8636,-2.0059,49.9948
9.3000,2.7687,-2.0057,49.9950
9.4000,2.6750,-2.0055,49.9952
9.5000,2.5833,-2.0053,49.9956
9.6000,2.4945,-2.0051,49.9961
9.7000,2.4092,-2.0050,49.9966
9.8000,2.3280,-2.0049,49.9973
9.9000,2.2516,-2.0048,49.9980
10.0000,2.1804,-2.0048,49.9988
10.1000,2.1147,-2.0048,49.9997
10.2000,2.0548,-2.0048,50.0006
10.3000,2.0009,-2.0048,50.0016
10.4000,1.9529,-2.0049,50.0027
10.5000,1.9108,-2.0051,50.0038
10.6000,1.8745,-2.0052,50.0049
10.7000,1.8436,-2.0054,50.0060
10.8000,1.8180,-2.0057,50.0072
10.9000,1.7972,-2.0060,50.0083
11.0000,1.7808,-2.0063,50.0094
11.1000,1.7685,-2.0066,50.0105
11.2000,1.7597,-2.0069,50.0115
11.3000,1.7540,-2.0073,50.0126
11.4000,1.7510,-2.0077,50.0135
11.5000,1.7503,-2.0081,50.0144
11.6000,1.7514,-2.0086,50.0153
11.7000,1.7541,-2.0090,50.0160
11.8000,1.7580,-2.0095,50.0167
11.9000,1.7627,-2.0100,50.0173
12.0000,1.7680,-2.0105,50.0179
12.1000,1.7736,-2.0110,50.0183
12.2000,1.7792,-2.0115,50.0186
12.3000,1.7846,-2.0121,50.0189
12.4000,1.7897,-2.0126,50.0190
12.5000,1.7946,-2.0132,50.0190
12.6000,1.7991,-2.0137,50.0189
12.7000,1.8035,-2.0143,50.0187
12.8000,1.8077,-2.0148,50.0185
12.9000,1.8121,-2.0154,50.0181
13.0000,1.8170,-2.0160,50.0176
13.1000,1.8228,-2.0165,50.0171
13.2000,1.8299,-2.0171,50.0165
13.3000,1.8388,-2.0176,50.0158
13.4000,1.8502,-2.0182,50.0150
13.5000,1.8644,-2.0187,50.0143
13.6000,1.8820,-2.0192,50.0135
13.7000,1.9035,-2.0197,50.0126
13.8000,1.9293,-2.0201,50.0118
13.9000,1.9599,-2.0205,50.0110
14.0000,1.9956,-2.0209,50.0101
14.1000,2.0366,-2.0213,50.0093
14.2000,2.0833,-2.0217,50.0086
14.3000,2.1356,-2.0220,50.0079
14.4000,2.1936,-2.0223,50.0072
14.5000,2.2573,-2.0226,50.0066
14.6000,2.3265,-2.0228,50.0061
14.7000,2.4010,-2.0230,50.0056
14.8000,2.4804,-2.0232,50.0053
14.9000,2.5642,-2.0234,50.0050
15.0000,2.6519,-2.0235,50.0049
15.1000,2.7428,-2.0236,50.0048
15.2000,2.8363,-2.0238,50.0048
15.3000,2.9316,-2.0239,50.0050
15.4000,3.0279,-2.0240,50.0053
15.5000,3.1244,-2.0241,50.0056
15.6000,3.2202,-2.0243,50.0061
15.7000,3.3145,-2.0244,50.0067
15.8000,3.4066,-2.0246,50.0074
15.9000,3.4956,-2.0248,50.0082
16.0000,3.5809,-2.0250,50.0091
16.1000,3.6619,-2.0252,50.0101
16.2000,3.7381,-2.0255,50.0112
16.3000,3.8091,-2.0258,50.0123
16.4000,3.8745,-2.0262,50.0135
16.5000,3.9343,-2.0266,50.0148
16.6000,3.9881,-2.0270,50.0161
16.7000,4.0362,-2.0275,50.0174
16.8000,4.0785,-2.0280,50.0188
16.9000,4.1153,-2.0286,50.0201
17.0000,4.1469,-2.0291,50.0215
17.1000,4.1735,-2.0298,50.0229
17.2000,4.1955,-2.0304,50.0243
17.3000,4.2134,-2.0311,50.0256
17.4000,4.2275,-2.0318,50.0269
17.5000,4.2384,-2.0326,50.0281
17.6000,4.2464,-2.0334,50.0293
17.7000,4.2519,-2.0342,50.0305
17.8000,4.2555,-2.0350,50.0316
17.9000,4.2573,-2.0359,50.0326
18.0000,4.2578,-2.0367,50.0335
18.1000,4.2573,-2.0376,50.0343
18.2000,4.2561,-2.0385,50.0351
18.3000,4.2545,-2.0394,50.0358
18.4000,4.2528,-2.0404,50.0363
18.5000,4.2511,-2.0414,50.0368
18.6000,4.2497,-2.0423,50.0372
18.7000,4.2485,-2.0433,50.0374
18.8000,4.2477,-2.0443,50.0376
18.9000,4.2471,-2.0453,50.0377
19.0000,4.2467,-2.0464,50.0376
