input,value,Fx(uN),Fy(uN),Fz(uN),Tx(uNmm),Ty(uNmm),Tz(uNmm)
u_thrust,-0.300,-0.000,-0.000,254.741,0.000,20.060,-0.000
u_thrust,-0.200,0.000,-0.000,332.818,0.000,26.189,-0.000
u_thrust,-0.100,-0.000,-0.000,421.316,0.000,33.124,0.000
u_thrust,0.000,-0.000,-0.000,520.235,0.000,40.862,-0.000
u_thrust,0.100,-0.000,-0.000,629.575,0.000,49.400,-0.000
u_thrust,0.200,-0.000,-0.000,749.337,0.000,58.733,0.000
u_thrust,0.300,0.000,-0.000,879.520,0.000,68.857,0.000
u_roll,-0.300,0.000,30.192,567.131,-2375.463,44.459,-2.313
u_roll,-0.200,0.000,20.393,541.077,-1603.532,42.461,-1.562
u_roll,-0.100,-0.000,10.276,525.446,-807.766,41.262,-0.787
u_roll,0.000,-0.000,-0.000,520.235,0.000,40.862,-0.000
u_roll,0.100,0.000,-10.276,525.446,807.766,41.262,0.787
u_roll,0.200,0.000,-20.393,541.077,1603.532,42.461,1.562
u_roll,0.300,0.000,-30.192,567.131,2375.463,44.459,2.313
u_pitch,-0.200,-11.751,-0.000,520.235,0.000,-774.111,-0.000
u_pitch,-0.133,-7.863,-0.000,520.235,0.000,-504.469,-0.000
u_pitch,-0.067,-3.940,-0.000,520.235,0.000,-232.408,0.000
u_pitch,0.000,-0.000,-0.000,520.235,0.000,40.862,-0.000
u_pitch,0.067,3.940,-0.000,520.235,0.000,314.128,0.000
u_pitch,0.133,7.863,-0.000,520.235,0.000,586.175,0.000
u_pitch,0.200,11.751,-0.000,520.235,0.000,855.795,-0.000
