t_ms,pitch_deg,roll_deg,height_mm,u_thrust,u_roll,u_pitch
0.000,10.0000,-10.1511,49.9999,0.0000,0.0000,-0.0075
0.100,9.9997,-10.1511,49.9997,-0.0001,-0.0142,-0.0136
0.200,9.9992,-10.1510,49.9994,-0.0002,-0.0110,-0.0185
0.300,9.9986,-10.1510,49.9990,-0.0002,-0.0117,-0.0226
0.400,9.9981,-10.1509,49.9985,-0.0003,-0.0115,-0.0258
0.500,9.9982,-10.1509,49.9979,-0.0003,-0.0115,-0.0284
0.600,9.9991,-10.1508,49.9972,-0.0003,-0.0115,-0.0306
0.700,10.0013,-10.1508,49.9965,-0.0003,-0.0114,-0.0322
0.800,10.0054,-10.1509,49.9957,-0.0004,-0.0114,-0.0336
0.900,10.0119,-10.1509,49.9949,-0.0004,-0.0114,-0.0347
1.000,10.0211,-10.1510,49.9940,-0.0004,-0.0113,-0.0355
1.100,10.0338,-10.1512,49.9931,-0.0004,-0.0113,-0.0362
1.200,10.0503,-10.1513,49.9921,-0.0004,-0.0113,-0.0367
1.300,10.0711,-10.1515,49.9912,-0.0003,-0.0112,-0.0371
1.400,10.0965,-10.1516,49.9903,-0.0003,-0.0112,-0.0374
1.500,10.1270,-10.1516,49.9893,-0.0003,-0.0112,-0.0377
1.600,10.1626,-10.1515,49.9885,-0.0003,-0.0111,-0.0378
1.700,10.2037,-10.1512,49.9876,-0.0003,-0.0111,-0.0380
1.800,10.2503,-10.1507,49.9868,-0.0003,-0.0111,-0.0381
1.900,10.3025,-10.1499,49.9861,-0.0003,-0.0110,-0.0382
2.000,10.3600,-10.1487,49.9854,-0.0003,-0.0110,-0.0383
2.100,10.4228,-10.1471,49.9848,-0.0003,-0.0110,-0.0383
2.200,10.4905,-10.1450,49.9843,-0.0002,-0.0110,-0.0384
2.300,10.5628,-10.1423,49.9839,-0.0002,-0.0109,-0.0385
2.400,10.6391,-10.1389,49.9836,-0.0002,-0.0109,-0.0386
2.500,10.7189,-10.1348,49.9834,-0.0002,-0.0109,-0.0387
2.600,10.8016,-10.1299,49.9833,-0.0002,-0.0108,-0.0388
2.700,10.8863,-10.1242,49.9833,-0.0002,-0.0108,-0.0389
2.800,10.9723,-10.1176,49.9835,-0.0002,-0.0108,-0.0390
2.900,11.0588,-10.1102,49.9837,-0.0002,-0.0107,-0.0391
3.000,11.1450,-10.1018,49.9841,-0.0002,-0.0107,-0.0393
3.100,11.2299,-10.0924,49.9846,-0.0002,-0.0107,-0.0394
3.200,11.3128,-10.0821,49.9852,-0.0002,-0.0106,-0.0395
