panel,x,y
A_signal,-8,-8356.8
A_signal,-6,-6504.1
A_signal,-4,-3614.0
A_signal,-2,-1346.9
A_signal,0,0.0
A_signal,2,1346.9
A_signal,4,3614.0
A_signal,6,6504.1
A_signal,8,8356.8
B_start+5,0.000,5.00
B_start+5,0.020,4.72
B_start+5,0.040,2.86
B_start+5,0.060,0.16
B_start+5,0.080,-2.29
B_start+5,0.100,-3.84
B_start+5,0.120,-4.13
B_start+5,0.140,-3.15
B_start+5,0.160,-1.29
B_start+5,0.180,0.80
B_start+5,0.200,2.45
B_start+5,0.220,3.23
B_start+5,0.240,2.95
B_start+5,0.260,1.74
B_start+5,0.280,0.06
B_start+5,0.300,-1.55
B_start+5,0.320,-2.63
B_start+5,0.340,-2.90
B_start+5,0.360,-2.33
B_start+5,0.380,-1.16
B_start+5,0.400,0.18
B_start+5,0.420,1.27
B_start+5,0.440,1.83
B_start+5,0.460,1.72
B_start+5,0.480,1.04
B_start+5,0.500,0.02
B_start+5,0.520,-1.01
B_start+5,0.540,-1.76
B_start+5,0.560,-2.03
B_start+5,0.580,-1.78
B_start+5,0.600,-1.12
B_start+5,0.620,-0.30
B_start+5,0.640,0.42
B_start+5,0.660,0.85
B_start+5,0.680,0.88
B_start+5,0.700,0.53
B_start+5,0.720,-0.05
B_start+5,0.740,-0.70
B_start+5,0.760,-1.21
B_start+5,0.780,-1.45
B_start+5,0.800,-1.38
B_start+5,0.820,-1.04
B_start+5,0.840,-0.56
B_start+5,0.860,-0.09
B_start+5,0.880,0.22
B_start+5,0.900,0.30
B_start+5,0.920,0.15
B_start+5,0.940,-0.17
B_start+5,0.960,-0.56
B_start+5,0.980,-0.90
B_start+5,1.000,-1.10
B_start+5,1.020,-1.11
B_start+5,1.040,-0.94
B_start+5,1.060,-0.67
B_start+5,1.080,-0.38
B_start+5,1.100,-0.16
B_start+5,1.120,-0.08
B_start+5,1.140,-0.13
B_start+5,1.160,-0.31
B_start+5,1.180,-0.54
B_start+5,1.200,-0.76
B_start+5,1.220,-0.90
B_start+5,1.240,-0.94
B_start+5,1.260,-0.87
B_start+5,1.280,-0.72
B_start+5,1.300,-0.55
B_start+5,1.320,-0.41
B_start+5,1.340,-0.33
B_start+5,1.360,-0.35
B_start+5,1.380,-0.44
B_start+5,1.400,-0.58
B_start+5,1.420,-0.72
B_start+5,1.440,-0.82
